date, temp
2024-06-11 , 15.8
2023-06-11 , 13.2
2022-06-11 , 16.6
2021-06-11 , 13.6
2020-06-11 , 14.3
2019-06-11 , 18.2
2018-06-11 , 15.3
2017-06-11 , 13.9
2016-06-11 , 17.3
2015-06-11 , 16.8
2014-06-11 , 15.3
2013-06-11 , 14.5
2012-06-11 , 18.4
2011-06-11 , 12.6
2010-06-11 , 17.8
2009-06-11 , 15.8
2008-06-11 , 21.2
2007-06-11 , 15.2
2006-06-11 , 13.9
2005-06-11 , 15.3
2004-06-11 , 13.5
2003-06-11 , 12.9
2002-06-11 , 20.5
2001-06-11 , 13.4
2000-06-11 , 14.5
1999-06-11 , 14.6
1998-06-11 , 13.8
1997-06-11 , 16.5
1996-06-11 , 14.4
1995-06-11 , 14.4
1994-06-11 , 14.6
1993-06-11 , 15.2
1992-06-11 , 14.1
1991-06-11 , 13.9
1990-06-11 , 14.1
1989-06-11 , 12.7
1988-06-11 , 13.8
1987-06-11 , 12.9
1986-06-11 , 13.8
1985-06-11 , 20.4
1984-06-11 , 16.0
1983-06-11 , 14.1
1982-06-11 , 11.5
1981-06-11 , 15.8
1980-06-11 , 12.3
1979-06-11 , 15.5
1978-06-11 , 16.2
1977-06-11 , 12.0
1976-06-11 , 14.0
1975-06-11 , 14.2
1974-06-11 , 13.6
1973-06-11 , 13.6
1972-06-11 , 15.4
1971-06-11 , 13.3
1970-06-11 , 15.1
1969-06-11 , 14.4
1968-06-11 , 13.8
1967-06-11 , 12.6
1966-06-11 , 15.2
1965-06-11 , 15.5
1964-06-11 , 13.1
1963-06-11 , 14.9
1962-06-11 , 11.6
1961-06-11 , 14.2
1960-06-11 , 15.2
1959-06-11 , 17.4
1958-06-11 , 17.3
1957-06-11 , 17.2
1956-06-11 , 14.2
1955-06-11 , 12.9
1954-06-11 , 14.4
1953-06-11 , 15.3
1952-06-11 , 14.2
1951-06-11 , 17.6
1950-06-11 , 13.5
